Sentence,Label
جب روح نکلتی ہے توانسان کامنہ کھل جاتاہے ہونٹ کسی بھی قیمت پرآپس میں چپکے ہوہے رہ نہیں سکتے روح پیرکوکھینچتی ہوہی اوپرکی طرف آتی ہے جب پھپڑوں اوردل تک روح کھینچ لی جاتی ہے اور انسان سانس ایک ہی طرف یعنی باہر ہی چلنے لگتی ہے یہ وہ وقت ہوتاہےجب چند لمحوں میں انسان شیطان اورفرشتوں کودنیامیں اپنے سامنے دیکھتاہے ایک طرف ابلیس اس کےکان میں کچھ مشورے دیتاہے تودوسری طرف اسکی زبان اسکےعمل کےمطابق کچھ الفاظ ادا کرنا چاہتی ہے اگر انسان نیک ہوتواسکادماغ اسکی زبان کو کلمہ شہادت کی ہدایت دیتاہے اگرانسان کافرہوبددین مشرک یادنیاپرست ہوتاہے تو اسکا دماغ کنفیوژن اورایک عجیب ھیبت کاشکارہوکرشیطان کےمشورے کی پیروی کرتا ہے اور بہت ہی مشکل سے کچھ الفاظ زبان سے اداکرنیکی بھرپورکوشش کرتاہے یہ سب اتنی تیزی ہوتاہے کہ دماغ کودنیاکی فضول باتوں کوسوچنے کاموقع ہی نہیں ملتاانسان کی روح نکلتے ہوئے ایک زبردست تکلیف زھن محسوس کرتاہے لیکن تڑپ نہیں پاتاکیونکہ دماغ کوچھوڑکرباقی جسم کی روح اسکے حلق میں اکٹھی ہوجاتی ہے اورجسم ایک گوشت کےبےجان لوتھڑے کی طرح پڑاہواہوتاہے جس میں کوہی حرکت کی گنجاہش نہیں رھتی آخرمیں دماغ کی روح بھی کھینچ لی جاتی ہے آنکھیں روح کولےجاتےہوے دیکھتی ہیں اسلیے کہ آنکھوں کی پتلیاں اوپرچڑھ جاتی ہیں یاجس سمت فرشتہ روح قبض کرکےجاتاہے اس سمت کی طرف ہوتی ہیں اسکےبعدانسان کی زندگی کاسفرشروع ہوتاہےجس میں روح تکلیفوں کےتہہ خانوں سےلےکر آرام کےمحلات کی آہٹ محسوس کرنےلگتی ہےجیساکہ اس سےوعدہ کیا گیا ہے جودنیاسے گیاواپس کبھی لوٹانہیں صرف اس لیےکہ کیونکہ اسکی روح عالم اے برزخ کاانتظارکررھی ہوتی ہےجس میں اسکاٹھکانادےدیاجاےگا اس دنیا میں محسوس ہونے والی طویل مدت ان روحوں کے لیے چند سیکنڈز سےزیادہ نہیں ہوگی یہاں تک کہ اگرکوہی آج سے کروڑوں سال پہلے ہی کیوں نہ مرچکاہو مومن کی روح اس طرح کھینچ لی جاتی ہے جیسے آٹےسےبال نکالاجاتاہے گناہ گار کی روح خارداردرخت پرپڑے سوتی کپڑے کی طرح کھینچی جاتی ہے اللہ سبحانه وتعالی ھم سبکو موت کے وقت کلمہ نصیب فرماکرآسانی کیساتھ روح قبض فرما اور نبی پاک صلی اللہ علیہ وسلم کادیدارنصیب فرما آمین یارب العالمین منقول,n
تیری جہالت کی مثالیں دینا بند کر دیں ورنہ دنیا پاگل ہو جائے گی۔,o
ان کو کوئی حقوق نہیں ملنے چاہیے۔,h
ہندو قوم کے افراد ناقابل اعتبار ہیں۔,h
اپریل فول کی درد ناک حقیقت جب عیسائی افواج نے اسپین کو فتح کیا تو اس وقت اسپین کی زمیں پر مسلمانوں کا اتنا خون بہایا گیا کہ فاتح فوجکے گھوڑے جب گلیوں سے گزرتے تھے تو ان کی ٹانگیں گھٹنوں تک مسلمانوں کے خون میں ڈوبی ہوتے تھیں جب قابض افواج کو یقین ہوگیا کہ اب اسپین میں کوئی بھی مسلمان زندہ نہیں بچا ہے تو انہوں نے گرفتار مسلمان فرما روا کو یہ موقع دیا کہ وہ اپنے خاندان کے ساتھ واپس مراکش چلا جائے جہاں سے اسکے آباؤ اجداد آئے تھے قابض افواج غرناطہ سے کوئی بیس کلو میٹر دور ایک پہاڑی پر اسے چھوڑ کر واپس چلی گئی جب عیسائی افواج مسلمان حکمرانوں کو اپنے ملک سے نکال چکیں تو حکومتی جاسوس گلی گلی گھومتے رہے کہ کوئی مسلمان نظر آئے تو اسے شہید کر دیا جائے جو مسلمان زندہ بچ گئے وہ اپنے علاقے چھوڑ کر دوسرے علاقوں میں جا بسے اور وہاں جا کر اپنے گلوں میں صلیبیں ڈال لیں اور عیسائی نام رکھ لئے اب بظاہر اسپین میں کوئی مسلمان نظر نہیں آرہا تھا مگر اب بھی عیسائیوں کو یقین تھا کہ سارے مسلمان قتل نہیں ہوئے کچھ چھپ کر اور اپنی شناخت چھپا کر زندہ ہیں اب مسلمانوں کو باہر نکالنے کی ترکیبیں سوچی جانے لگیں اور پھر ایک منصوبہ بنایا گیا پورے ملک میں اعلان ہوا کہ یکم اپریل کو تمام مسلمان غرناطہ میں اکٹھے ہوجائیں تاکہ انہیں انکے ممالک بھیج دیا جائے جہاں وہ جانا چاہیں اب چونکہ ملک میں امن قائم ہوچکا تھا اور مسلمانوں کو خود ظاہر ہونے میں کوئی خوف محسوس نہ ہوا مارچ کے پورے مہینے اعلانات ہوتے رہے الحمراء کے نزدیک بڑے بڑے میدانوں میں خیمے نصب کر دیئے گئے جہاز آکر بندرگاہ پر لنگرانداز ہوتے رہے مسلمانوں کو ہر طریقے سے یقین دلایا گیا کہ انہیں کچھ نہیں کہا جائے گا جب مسلمانوں کو یقین ہوگیا کہ اب ہمارے ساتھ کچھ نہیں ہوگا تو وہ سب غرناطہ میں اکٹھے ہونا شروع ہوگئے اسی طرح حکومت نے تمام مسلمانوں کو ایک جگہ اکٹھا کرلیا اور انکی بڑی خاطر مدارت کی یہ کوئی پانچ سو برس پہلے یکم اپریل کا دن تھا جب تمام مسلمانوں کو بحری جہاز میں بٹھا یا گیا مسلمانوں کو اپنا وطن چھوڑتے ہوئے تکلیف ہو رہی تھی مگر اطمینان تھا کہ چلو جان تو بچ جائے گی جان بچھی تو لاکھوں پاے دوسری طرف عیسائی حکمران اپنے محلات میں جشن منانے لگے جرنیلوں نے مسلمانوں کو الوداع کیا اور جہاز وہاں سے چلا دیئے ان مسلمانوں میں بوڑھے جوان خواتین بچے اور کئی ایک مریض بھی تھے جب جہاز سمندر کے عین وسط میں پہنچے تو منصوبہ بندی کے تحت انہیں گہرے پانی میں ڈبو دیا گیا اور یوں وہ تمام مسلمان سمندر میں ابدی نیند سوگئے اس کے بعد اسپین میں خوب جشن منایا گیا کہ ہم نے کس طرح اپنے دشمنوں کو بیوقوف بنایا پھر یہ دن اسپین کی سرحدوں سے نکل کر پورے یورپ میں فتح کا عظیم دن بن گیا اور اسے انگریزی میں کا نام دیدیا گیا یعنی یکم اپریل کے بیوقوف آج بھی عیسائی دنیا اس دن کی یاد بڑے اہتمام سے منائی جاتی ہے اور لوگوں کو جھوٹ بول کر بیوقوف بنایا جاتا ہے اس رسم کے درج ذیل نقصانات ہیں دشمنوں کی خوشی میں شرکت کرنا نفاق میں ڈوب جاتا جھوٹ بولنا اور ہلاکت پانا اللہ کی ناراضگی پانا مسلمان بہن بھائیوں کی تباہی و بربادی کی خوشی منانا مسلمان بہن بھائیوں کو مصیبت میں ڈالنا دنیا و آخرت میں تباہی ہی تباہی ہے اللہ آپکو پڑھنے کی اور مجھے لکھنے کا جزا دیں آمین پوسٹ ملتے ھی شئیر کر دیا کریں آپ کی شئیر ہمارا پیغام لوگوں تک پہچانے میں بہت کاریگر ثابت ہوتی ہے یااللہ موت کی تلخی قبر کی سختی حشر کی شرمندگی جہنم کی گرمی سے ہماری حفاظت فرما آمین,n
ان کے لیڈر انسانیت کے دشمن ہیں۔,h
اقرا آپی جو کوئی بھی بکواس کرتا ہیں کرنے دیں سب آپ کی بلندی سے جلتے ہیں بس اللہ پاک آپ کی ساری فیملی کو اور بلندی دیں آمین ثم آمین,o
تم سارے یوٹیوبر ہی بہن یک ہو جاؤ تمہارے ساتھی ہیں اور تم نیچے کمنٹ کر رہے ہیں تمہیں سپورٹ کر رہے ہیں جو دوسرے یوٹیوبر کے ساتھ بھی ہیں وہ ان کو سپورٹ کر رہے ہیں ان کے نیچے ان کی ویڈیو کے نیچے کمنٹ کر کے تم سب گانڈو ہو,n
یہ گروہ ہر جگہ نفرت پھیلاتا ہے۔,h
ایک نمبر کا لعنتی اپنی ماں بیوی بہن کا مجرا دیکھانے والا لعنتی,o
ان لوگوں کو جینے کا کوئی حق نہیں ہے۔,h
"اوہ مرو، ڈاکیہ، تو سانو نفرت انگیز تبصرہ کرے گا، یہ تین نفرت انگیز تبصرے ہیں کردیاں، ڈاکیہ",h
اس سے پہلے تیری ویڈٰیوز پر لائیک جاتے تے اب رپورٹس جائیں گیں,h
بھائی کچھ اور بھی روسٹ کیا کریں آپ کیو ں ان منحوس لوگوں کو سامنے لے کر آجاتے ہیں آپ کی روسٹنگ سب سے بہترین پلیز چینج یور ڈائریکشن,o
"تم لوگوں کا آپس میں کیا ہوا ، لڑائی کیوں ہوئی ؟ اس کے بعد تم نے لوگوں نے ایک دوسرے کے خلاف کیا کیا ؟ میرا خیال ہے کہ یہ کسی بھی دیکھنے والے کا موضوع نہیں ہونا چاہئیے ۔۔۔ حقیقت اور سچ یہی ہے کہ ، تم لوگوں نے اپنے دیکھنے والوں کو دھوکہ دینے کی کوشش کی ہے ۔۔۔۔ اور اس کو پورا پلان کیا ہے ۔۔۔۔ اب اس میں کوئی کتنا قصوروار تھا ۔۔۔۔ یہ معنی نہیں رکھتا ۔۔۔۔ تم لوگوں نے مل کے پلان بنایا ۔۔۔۔ تو تم سب برابر کے دمہ دار ہو ۔۔۔ اس بات پر شرمندہ ہونے کی بجائے باقی کہانیاں سنا رہے ہو اور اصل قصور کو مان نہیں رہے ۔۔۔ ارے بھائی ہمیں کیا غرض کہ طلحہ ، ندیم یا شام کے درمیان لڑائی کیوں ہے ؟؟؟ ہمارا مطلب یہ کہ تم لوگوں کو شرم نہیں آئی دیکھنے والوں کے خلاف پلان بناتے ہوئے ۔۔۔۔۔ اس بات پر شرم کرو بے شرمو۔۔۔۔۔۔",o
ایسے لوگوں کو عبرتناک سزا ملنی چاہیے۔,h
جبرائیل علیہ السلام فرماتے ہیں کہ میں نے مشرق سے مغرب تک ساری زمین الٹ پلٹ کر دیکھی مگر محمد ص جیسا حسین چہرہ نہیں پایا,n
ہیلو ہیلو ڈکی بھائی اپ کے میں نے اپ کی جوائن کرنی ہے اپ مجھے اپنی جگہ پر کرلیں میں اپ کے جوان پر پہنچی کروں گی تیاری,n
قرآن پاک میں ارشاد ہے اور دوسروں کو برے القاب سے نا پکارو ایمان لانے کے بعد فاسق کہلانا کتنا ہی برا ہے۔ اور جو کوئی توبہ نہیں کرے گا ان باتوں کے بعد پس وہ ظالم بے انصاف ہے الحجرات,n
کیونکہ تم اپنی ماں اور اپنی بیوی کو دکھا کر پیسے کماتے ہو ایسا پیسہ پر میرا پیشاب,o
اپ صبح دوپہر شام جب مرضی ولاگ بھی بناؤ لیکن اپ سے ایک عاجزانہ التماس ہے ریکویسٹ ہے گزارش ہے ۔۔۔خدارا اپنے ولاگ میں اپنی بیوی ماں کو شامل مت کیا کرو اپ غیرت مند انسان بنو اور ایک مسلمان ہو اور مسلمان والے ثبوت دو نہ کہ پیسوں کے پیچھے اپنی پرائیویسی شو کرو,o
تم نے سچ میں کافور انے والی بات کی ہے تم جھوٹ بول رہی ہو ویسے کار لینی ہو دیور ساتھ میں رینٹ پر کارڈ لے کر شوخیاں مارتی ہو,o
ڈکی بھائی اچھا کیا آپ نے دلائل دیئے ورنہ آپ کو بہت عوام غلط سمجھ رہی تھی اس معاملے میں عوام نے ایک سائیڈ کو سن کر فیصلہ کرلیا تھا آپ نے وضاحت دے کر اچھا کیا,n
ان کی رہنمائی صرف نفرت پر مبنی ہے۔,h
اج ایک بات سیکھنے کو ملی حقیقت جان بنا کسی پر اعتماد نہ کریں کوئی کچھ بھی بولے کبھی یقین مت کرنا جب تک ثبوت نہ ملے میں اپ کے ساتھ ہوں ڈکی بھائی,n
یہ کمینہ شکل سے ہی بے شرم لگتا ہے ابلیس ڈکی بھائ ایسے لوگ صرف باتیں ہی کرسکتے,o
ڈکی بھائی میں دعا کرتا ہوں کہ اللہ پاک آپ کو بھی ہدایت دے جو آپ کے خلاف ویڈیو بنا رہے ہیں اللہ ان کو بھی ہدایت دے کے وہ ان کاموں سے باز آجائیں,n
"اپنی فضولیات کو دلیلیں سمجھنے والے، کبھی آئینہ دیکھ کر حقیقت کا سامنا بھی کر لو۔",o
ڈکی بھائی موت اللہ کے ہاتھ میں ہے یہ پلاسٹک کا باندر کچھ نہیں کر سکتا اللہ آپ کے گھر والوں اور آپ کو اپنی حفظ و امان میں رکھے آمین,n
ڈکی جیسا منافق میں نے نہیں دیکھا میں نے بھی ڈکی کی وجہ سے شام ادریس کو ایک بالکل منافق انسان سمجھا تھا مگر وہ حقیقت میں ڈکی کی طرح گرا ہوا انسان نہیں تھا لعنت تیرے پر منافق انسان بدلا برادر نے ساری منافقت کھول کر رکھ دی ہے میں نے ابھی بدلا کی نئی وڈیو دیکھی تیرے جیسے گندے انسان کے لیے مجھے تو الفاظ نہیں مل رہے انسان کے نام پر دھبہ ہے بیوی دیکھا کر کمائی کرنے والے,n
اپ پاکستان کے سب سے بڑے یوٹیوبر ہیں۔اپ کو چاہیے کہ ہمارے جیسے جو چھوٹے یوٹیوبر ہیں۔ ان کی مدد کریں۔مالی مدد نہیں کام سمجھا کے۔تاکہ ہم سب یوتوب پہ کامیاب ہو سکیں۔میری طرح بے شمار نوجوان بے روزگار اور پریشانی کی زندگی گزار رہے ہیں۔ہم سب لوگ اپنے پیٹ کے بارے میں سوچتے ہیں۔اگر کسی دوسرے کے بارے میں بھی اچھا سوچیں تو رب کی ذات بھی خوش ہوگی۔ اور لاکھوں دعائیں ملیں گی,n
سلیقہ جن کو سکھایا تھا ہم نے چلنے کا وہ لوگ آج ہمیں دائیں بائیں کرنے لگے,o
ایک بات ہے جو زبان یہ استعمال کرتا ہے میں سوچتا تھا کہ یہ یا تو حرام کی اولاد میں ہو گا یا اس کے والدین کو علم ہی نہی ہو گا کہ یہ اپنی ویڈیو میں کونسی زبان استعمال کرتا ہے۰ اب یہ خود بتاتا ہے کہ اس کے گھر والے بھی اس کی ویڈیو دیکھتے ہیں۰ تو اس کا مطلب کیا ہوا کہ یہ حرام کی اولاد آپکے بچوں کو بھی حرام کی اولاد والی ہی تربیت دیے رہا ہے۰ میری سب بچوں اور انکی فیملی سے درخواست ہے کہ ایسے بندوں کو ان کے حال پر چھوڑ دو اور ان جیسے لوگوں کیلئے الللہ سے دعا کریں کہ الللہ انہیں بھی اور ہمیں بھی ہدایت دیے آمین۰,n
اپنی ماں بہنوں کو بیچنے والے ڈکی تو پہلے بھی پیسے کا غلام اور گونڈا تھا اج بھی تو ویسا ہی ہے دوسروں کو گالیاں دے کر ویوز اور سبسکرائبر لینے والا شریف بن رہا ہے تیرے ولاگ کے سبسکرائبر تجھے اخرت میں جنت میں نہیں لے جائیں گے,o
یی لوگ سکیمر ہیں ان لوگوں سے دور رہیں ان کے باتوں میں مت او,h
"تم محبت کا جواب صرف نفرت سے دے سکتے ہو تم نفرت بول بول کر صرف قابل نفرت ہو چکے ہو تم نہ محبت کو سمجھ سکتے ہو نہ اس قابل ہو کے تم سے کی جائے خدا تم کو ہدایت دے ، نفرت کرنا آسان ہے لیکن محبت کرنا نہیں",h
اتنی فضول حرکتیں کر کے بھی تمھیں فخر محسوس ہوتا ہے؟,o
"زبردست ولاگ آپ کی ویڈیو دیکھ کر مجھے بھی اپنی ولاگنگ کی یاد آ گئی، میں نے بھی ایک نیا ولاگ اپلوڈ کیا ہے، ضرور دیکھیں۔",n
ایسے لوگوں کا خاتمہ ضروری ہے۔,h
تم جیسے لوگ اپنی ناکامیوں کا الزام دوسروں پر ڈال کر بچنے کی کوشش کرتے ہیں۔,o
اتنی گھٹیا حرکتوں کے بعد بھی تمھیں احساس نہیں ہوتا۔,o
زبان کی گندگی اور دماغ کی کمی تمھارے کردار کا آئینہ ہے۔,o
ان کی زبان صرف نفرت بولتی ہے۔,h
مجھے آپ کے جواب سن کر مزہ بہت آیا آچھا کیا جو آپ نے جواب دیا اگر میں ہوتی تو جو آپ کو غلط بولے ان کو اچھی اچھی جواب دیتی,n
آپ سب سے گزارش ہے کہ میں پاکستان کی فوج کی بہت محنت کرکے وڈیوز بناتا ہوں پلیز حوصلہ افزائی کی خاطر میری سپورٹ کریں,n
بھائی میں خیر یو ٹیوبر تو نہیں ہوں لیکن جس طرح سے یہ فیک لوگ آپکو دھمکیاں دے رہے ہیں تو میں ان ابلیس کے چیلوں پہ لعنت بھیجتا ہوں ۔ ۔ ۔ پورا پاکستان تو کیا پوری دنیا کو ان لوگوں کی منافقت پتہ چل گئی ہو گی۔ ۔ ۔ جُگ جُگ جیو ڈکی بھائی,n
ڈکی اور شام ایک دوسرے کی مٹی پلید کریں گے پھر اخر میں صلح کرلیں گے اور دونوں اپنے سبسکرائبرز کو چونا لگائیں گے ہاہاہاہاہاہا,n
کتنی بار میں توبہ کر چکا ہوں اب گالیاں نہیں دوں گا یہ لوگ مجھے جنت میں نہیں جانے دیں گے,o
لعنت ہو تم جیسے بیغرت لوگوں پر جو اپنی طوائف بیوی کی ادائیں سوشل میڈیا پر دیکھا کر پیسے کماتے ہیں اگر تھوڑی سی غیرت اور مردانگی ہے تو اپنی ماں بیوی کو دیکھائے بغیر اپنی حیثیت اور انرجی پر کروڑ پتی بن کر دیکھاؤ تم وہ بیہودہ اور گھٹیا انسان ہو جس نے پاکستان کے بچوں کی ذہانت کو گندگی سے بھردئیے ہیں,n
السلام علیکم بھائی جان میں آپکی تین سال سے ویڈیو دیکھ رہا ہوں مجھے اس سارے معاملات کا مجھے پتہ ہے کہ کب کیا ہوا تھا ہم اس وقت بھی آپ کے ساتھ تھے اور آج بھی ہم آپ کے ساتھ ہیں دو تین سال پہلے میں شام ادریس کی سب ویڈیو دیکھتا رہا اور جو اپلوڈ کرتا تھا فیس بک پیج پر بھی فالو کیا ہوا تھا اور یوٹیوب کو بھی سبسکرائب کیا ہوا تھا جب سے اس نے پاکستانی یوٹیوب اور کو برا بھلا کہنا شروع کیا اور آپ کے ساتھ غلط الفاظ استعمال کیے بہت برا بھلا کا پاکستانی یوٹیوبرز کے ساتھ اس نے غلط الفاظ استعمال کئے تھے میں نے یہ کیا کہ اس کا فیس بک پیج بھی انفالو کیا اور یو ٹیوب سبسکرائب ختم کردیا دو سال سے میں نے اس کو بالکل نہیں دیکھا تھا آج آپ کی ویڈیو بنی آپکی تو روز دیکھتے ہیں جو اپلوڈ کرتے ہو شام ادریس وہ بندہ کبھی بھی اپنی عزت کروانے چاہتا ہی نہیں ہے ا ٹھوکتے رہو اور آگے نکلتے جاؤ کمنٹس کو میں نے پہلی دفعہ دیا ہے ہم آپ کا ہر لفظ بلفظ آپ کے ساتھ ہیں آئی لو یو ڈنکی بھائی دل خوش کردیا آپ نے یہ جو بچائی ہے پہلے بھی اور آج بھی میری دعا ہے یہ ویڈیو ٹریننگ پر چلی جائے اچھا کیا اس کی پکچر بھی اپنی یوٹیوب پر نہیں لگائی دیکھنے کا دل ہی نہیں کرتا,n
اف اللہ یہ کیسا انصاف ہے اتنی خوبصورت لڑکی اس سانڈ کو دیدی اور ہم دنیا میں کیا صرف ان کو دیکھنے آے ہیں,o
اچھا بھائی بات یہ ہے کہ تم بھی گانڈو شام ادریس بھی گانڈو اور وہ ریلوکٹا شامیر بھی گانڈو اب بات یہ ہے کہ یہ تم لوگ ہم سب کو چوتیاں بنا رہے ہو ایک سیکنڈ کے لئے مان لیتے ہیں کہ شام ادریس نے تمہیں دھمکی دی ہے اب یہ بتاؤ کیا شام ادریس آئی ایس آئی کا ایجنٹ ہے کیا وہ اسامہ بن لادن کے گروپ سے ہے کیا اس کا تعلق القاعدہ سے ہے اگر نہیں تو تم اس سے اتنا خوفزدہ کیوں ہوگئے ایک عام انسان ہے اگر اس نے ایک دھمکی دی تھی تو تم سوشل میڈیا پر آگے ڈھنڈورا کیوں پیٹ رہے ہو کیا یہاں پر بیٹھے کسی ایک فرد نے بھی تمہیں اس وقت بچانا ہے جب تم پر حملہ ہونا ہے نہیں بچا نا اگر کوئی بچائے گا تو یاوہ اللہ ہوگا اور اس کے بعد پولیس ہوگی تو تم جاکے پولیس میں کیوں نہیں ایف آئی آر درج کرواتے کہ اس نے مجھے دھمکی دی ہے تم اپنی سستی شہرت کے لیے عوام کو گانڈو بنا رہے ہو وہ تو گانڈو ہی ہیں تو ماما پاگل بنا رہے ہو بےغیرت انسان سستی شہرت کے لئے گانڈو پناہ کرنا بند کرو یہ جہالت ہے اور کچھ نہیں اچھا بھائی بات یہ کہ تم بھی گانڈو میں دوبارہ دہرا دیتا ہوں تم تینوں گانڈو شام ادریس شاہ میر اور بطخیں کتا,n
اس سے پچھلی ویڈیو پر تمہاری بہن فاطمہ نے کیسے کپڑے پہنے جس کے سلیوز ہی نہیں ہے یہ عزت دار عورتوں کے کام ہیں اریب کو کہو اپنی بھابھی کے کپڑے اس طرح پہن کے ویڈیو بنائے وہ کبھی بھی نہیں بنائے گی کیونکہ وہ ایک عزت دار خاندان سے ہے اس لیے وہ کبھی بھی اس طرح کے لنڈے کپڑے پہن کر سامنے نہیں ائے گی تم لوگ ایک ک خاندان سے ہو اس لئے تم لوگ پہن لیتی ہو ایسے کپڑے ارے باپ اور تمہاری ماں کی بھی غیرت مر گئی ہے زیادہ کمائی کھانے کے چکروں میں ان کو تمیز ہی نہیں رہی کہ بیٹیوں کے کپڑے کیسے پہننے ہیں تم جیسی عورتوں کے شلوار اتار کر سڑک میں لے لیتے ہیں پھر لوگ تم جیسی اگے کہتے ہو ہمارے ساتھ زیادتی ہوگئی فاطمہ نے جیسے کپڑے پہنے ہوئے تھے تمہاری بہن نے وہ بہن کے عزت دار گھرانے کی عورتیں باہر پھرتی ہیں کوئی بھی عزت دار گھرانے کے لوگ تم جیسی سے شادی نہیں کریں گے یہ تو عریب کی ماں باپ نہیں ہے تو اقراء تمہاری شادی ہو گئی اس کے ساتھ ورنہ اگر وہ زندہ ہوتی تو تم کبھی بھی اریب کی بیوی نہ بنتی وہ کیوں کیونکہ اس نے اپنی پہلی بہو جو لے کے ائی وہ عزت دار گھر سے لے کے ائی ہے وہ کبھی بھی ایسے کپڑے پہن کر سوشل میڈیا پر نہیں ائے گی کیونکہ اس کی غیرت گوارا ہی نہیں کرتی اور اریب کے ماں باپ مر گئے تو اس کو خاندان کی تو کوئی لڑکی ملی نہیں اس لئے اس نے بازار سے ہی لے کے انی تھی ناچنے گانے والی اور اب تم لوگ کہتے ہو کہ ہماری کوئی پھودی نہ لے کیوں نہ لیں بھئی کوئی جب تم ننگی ہو کے لوگوں کے سامنے اؤ گی لوگوں نے لینا نہیں ہے تمہارا سنجا,h
یہ قوم اپنی فطرت سے مجبور ہے۔,h
"قرآن پاک نے ان لوگوں کو دایوس کہا ہے مطلب کہ بغیرت مرد وہ لوگ جن کو اپنی ماں، بہن اور بیٹی کی عزت کا کوئی خیال نہیں اور سرعام اپنے گھر کی چار دیواری کو پامال کرتے ہیں اور یہ بغیرت بے حیائی کو نام دیتے ہیں فیملی وی لاگنگ کا لعنت ہو ان سب پر اللہ پال ہدایت نصیب کرے آمین",n
اگر ذرا سی بھی غیرت ہے نہ اس جوڑے میں تو ڈووووووب کے مر جائیں ,o
"سعد جب عوام الناس تمہیں انسبسکرئیب کر رہے تھے تو اس وقت میں وہ واحد بندہ تھا جس نے تمہیں سبسکرائب کیا، کیوں کہ مجھے اس سارے معاملے میں یقین تھا اور ہے کہ لوگوں کو اور باقی سارے پاکستانی یوٹیوبرز کو تمھاری کامیابی ہضم نہیں ہو رہی، حسد کرتے ہیں سب، تکلیف ہوتی ہے سب کو کہ سعد اتنا کما کیوں رہا ہے اور اتنا کامیاب یوٹیوبر کیوں ہے، الله کی عطا ہے بھائی، حسد کرنے والے حسد نہ کریں بلکہ محنت کریں سعد الرحمن الله پاک آپ کو مزید کامیابیاں عطا فرمائے، اور آخری بات اپنی ویڈیوز میں اپنی والدہ، اپنی اہلیہ کو لانا کوئی بری بات نہیں ہے، سعودی عرب کی سرزمین سے تمھارے لئے دل سے دعائیں کر رہا ہوں، الله تمہیں حاسدین کے حسد سے بچائے،",n
اور مجھے پتہ ہے جب اتنی بونڈ مروائی ہو سوشل میڈیا پر تو غیرت مر جاتی ہے اور تم لوگوں کی غیرت مر گئی ہے اور مجھے کوئی شوق بھی نہیں تم لوگوں کی غیرت جگانے کا لعنت ذلت تم لوگوں کا مقدر ہے لوگوں نے تمہیں گالیاں دینی ہی دینی ہے لعن طعن کرنا اس کو عزت نہیں کہتے کیونکہ تم دین اسلام معاشرے کو اچھا نہیں کر رہے تم لوگ گند پھیلا رہے ہو اس کو ذلت کہتے ہیں اس کو عزت دینا نہیں کہتے اللہ تعالی اس کو عزت دی ہے جو ناچتی ہے جو پیٹ دکھاتی ہے جس کے بوبز نظر اتے ہیں جس کا سینہ بوبس کے درمیان کی لکیر تک لوگوں نے دیکھ لی ہر چیز ہر چیز اسکین تم کو نہیں پتا کہ مرد ایک عورت کو کس نظر سے دیکھتا ہے جب یہ بنا دوپٹے سر پہ بھی نہیں لیا ہوتا سینے پہ بھی نہیں لیا ہوتا بال کھول کر اپنے چھوٹے چھوٹے بوبز کے اوپر سنی پلاس لگا کر مارکیٹ میں اجاتی ہے اور اپنی بونڈ مروانے تو تمہیں نہیں پتا مرد کس طرح بونڈ مارتے ہیں اس کو عزت کہتے ہیں نہیں اس کو ذلت کہتے ہیں ذلت شادی کے پہلے بہت ہی کمزور اور سکے سے تھے اب حرام کا کھا کھا کے تمہارے اوپر ماس چڑھ گیا ہے اریب ویسے اب تمہارے اندر حرام بول رہا ہے کہ میری بیوی کو کچھ نہ کہو اس نے بونڈ مروانی ہے لیکن تم لوگ کچھ نہ کہو کیونکہ تم اس کی بونڈ مروائی کا کھانا کھاتے ہو سے فحاش لوگوں کو سر بازار چونک میں لٹکا کر گولیاں مار دینی چاہیے کے ابو نے اپنی بیٹیوں کی تربیت ایک فحاش خاندان جیسی کی ہے جو ناچتی ہیں ڈانس کرتی ہیں مجرہ کرنے میں اگے اگے رہتی ہیں اس کو کہتے ہیں کنجروں کا خاندان تم لوگوں عزت داروں کے خاندان میں مت ملو کیونکہ عزت دار خاندان تم لوگوں نے ابھی دیکھے ہی نہیں ان لوگوں کے گھر میں بھی ائندہ جو اولاد نسل پیدا ہونی ہے وہ بھی ناچیں گے گائیں گے کسی کی بونڈ نظر ارہی ہوگی تو کسی کا سینہ نظر ارہا ہوگا کوئی نیچے سے ننگا ہوگا کوئی اوپر سے ننگا ہوگا کیونکہ کنجروں کے خاندان میں کنجر ہی پیدا ہوتے ہیں جو کہ تم لوگ ہو ۔,o
سٹارٹ میں نے بھی بڑے بڑے کو ایسے ہی روسٹ کیا اور اب خود وہی کام کر رہا جو اس ٹائم پے وہ کر رھے تھے ۔ اب یہ سٹارٹ ہوگیا ۔ لوگ دوسروں کو گرا تے ہیں اور بعد میں اُنہیں جیسی ویڈو بناتے ہیں ۔ کون کون کرتا ہے ؟؟؟؟؟؟؟؟,n
